SetEntrenamiento,SetTesting,Resultados,MÃ©todo,Vecinos,Numero de iteraciones,Alfa,Epsilon,Tiempo
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1001-vecinos-resultados.csv,0,1001,0,0,0,29770.7
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1051-vecinos-resultados.csv,0,1051,0,0,0,30496.9
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1101-vecinos-resultados.csv,0,1101,0,0,0,31215.6
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1151-vecinos-resultados.csv,0,1151,0,0,0,31961.8
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1201-vecinos-resultados.csv,0,1201,0,0,0,32714.4
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1251-vecinos-resultados.csv,0,1251,0,0,0,33356.8
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1301-vecinos-resultados.csv,0,1301,0,0,0,34115.7
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1351-vecinos-resultados.csv,0,1351,0,0,0,34868.9
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1401-vecinos-resultados.csv,0,1401,0,0,0,35615.6
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1451-vecinos-resultados.csv,0,1451,0,0,0,36354.2
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1501-vecinos-resultados.csv,0,1501,0,0,0,37094.4
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1551-vecinos-resultados.csv,0,1551,0,0,0,37808.9
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1601-vecinos-resultados.csv,0,1601,0,0,0,38512.7
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1651-vecinos-resultados.csv,0,1651,0,0,0,39265.7
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1701-vecinos-resultados.csv,0,1701,0,0,0,40032.3
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1751-vecinos-resultados.csv,0,1751,0,0,0,40754.0
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1801-vecinos-resultados.csv,0,1801,0,0,0,41484.0
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1851-vecinos-resultados.csv,0,1851,0,0,0,42230.9
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1901-vecinos-resultados.csv,0,1901,0,0,0,42965.2
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1951-vecinos-resultados.csv,0,1951,0,0,0,43682.1
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-2001-vecinos-resultados.csv,0,2001,0,0,0,44478.0
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1-vecinos-resultados.csv,0,1,0,0,0,15336.5
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-51-vecinos-resultados.csv,0,51,0,0,0,16149.6
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-101-vecinos-resultados.csv,0,101,0,0,0,16844.3
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-151-vecinos-resultados.csv,0,151,0,0,0,17593.5
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-201-vecinos-resultados.csv,0,201,0,0,0,18307.1
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-251-vecinos-resultados.csv,0,251,0,0,0,18996.8
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-301-vecinos-resultados.csv,0,301,0,0,0,19682.0
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-351-vecinos-resultados.csv,0,351,0,0,0,20342.6
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-401-vecinos-resultados.csv,0,401,0,0,0,20993.6
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-451-vecinos-resultados.csv,0,451,0,0,0,21696.9
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-501-vecinos-resultados.csv,0,501,0,0,0,22373.1
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-551-vecinos-resultados.csv,0,551,0,0,0,23064.2
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-601-vecinos-resultados.csv,0,601,0,0,0,23772.4
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-651-vecinos-resultados.csv,0,651,0,0,0,24462.5
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-701-vecinos-resultados.csv,0,701,0,0,0,25138.8
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-751-vecinos-resultados.csv,0,751,0,0,0,25839.8
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-801-vecinos-resultados.csv,0,801,0,0,0,26506.0
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-851-vecinos-resultados.csv,0,851,0,0,0,27270.1
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-901-vecinos-resultados.csv,0,901,0,0,0,27978.2
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-951-vecinos-resultados.csv,0,951,0,0,0,28708.5
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1001-vecinos-resultados.csv,0,1001,0,0,0,29421.2
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1051-vecinos-resultados.csv,0,1051,0,0,0,30139.8
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1101-vecinos-resultados.csv,0,1101,0,0,0,30906.0
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1151-vecinos-resultados.csv,0,1151,0,0,0,31599.6
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1201-vecinos-resultados.csv,0,1201,0,0,0,32329.3
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1251-vecinos-resultados.csv,0,1251,0,0,0,33061.5
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1301-vecinos-resultados.csv,0,1301,0,0,0,33789.7
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1351-vecinos-resultados.csv,0,1351,0,0,0,34494.4
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1401-vecinos-resultados.csv,0,1401,0,0,0,35248.9
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1451-vecinos-resultados.csv,0,1451,0,0,0,36010.6
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1501-vecinos-resultados.csv,0,1501,0,0,0,36750.3
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1551-vecinos-resultados.csv,0,1551,0,0,0,37439.5
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1601-vecinos-resultados.csv,0,1601,0,0,0,38148.8
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1651-vecinos-resultados.csv,0,1651,0,0,0,38965.8
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1701-vecinos-resultados.csv,0,1701,0,0,0,39640.5
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1751-vecinos-resultados.csv,0,1751,0,0,0,40353.1
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1801-vecinos-resultados.csv,0,1801,0,0,0,41054.2
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1851-vecinos-resultados.csv,0,1851,0,0,0,41787.4
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1901-vecinos-resultados.csv,0,1901,0,0,0,42603.1
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-1951-vecinos-resultados.csv,0,1951,0,0,0,43248.4
./Data/5_fold-SET-3-train.csv,./Data/5_fold-SET-3-validate.csv,./resultados/5_fold-SET-3-2001-vecinos-resultados.csv,0,2001,0,0,0,44006.9
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1-vecinos-resultados.csv,0,1,0,0,0,15118.4
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-51-vecinos-resultados.csv,0,51,0,0,0,15885.1
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-101-vecinos-resultados.csv,0,101,0,0,0,16632.8
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-151-vecinos-resultados.csv,0,151,0,0,0,17332.4
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-201-vecinos-resultados.csv,0,201,0,0,0,18010.1
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-251-vecinos-resultados.csv,0,251,0,0,0,18723.4
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-301-vecinos-resultados.csv,0,301,0,0,0,19390.9
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-351-vecinos-resultados.csv,0,351,0,0,0,20040.5
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-401-vecinos-resultados.csv,0,401,0,0,0,20694.7
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-451-vecinos-resultados.csv,0,451,0,0,0,21367.8
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-501-vecinos-resultados.csv,0,501,0,0,0,22058.0
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-551-vecinos-resultados.csv,0,551,0,0,0,22719.6
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-601-vecinos-resultados.csv,0,601,0,0,0,23469.3
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-651-vecinos-resultados.csv,0,651,0,0,0,24116.5
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-701-vecinos-resultados.csv,0,701,0,0,0,24771.7
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-751-vecinos-resultados.csv,0,751,0,0,0,25443.6
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-801-vecinos-resultados.csv,0,801,0,0,0,26156.8
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-851-vecinos-resultados.csv,0,851,0,0,0,26862.2
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-901-vecinos-resultados.csv,0,901,0,0,0,27575.7
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-951-vecinos-resultados.csv,0,951,0,0,0,28312.4
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1001-vecinos-resultados.csv,0,1001,0,0,0,28964.5
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1051-vecinos-resultados.csv,0,1051,0,0,0,29723.6
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1101-vecinos-resultados.csv,0,1101,0,0,0,30410.9
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1151-vecinos-resultados.csv,0,1151,0,0,0,31156.9
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1201-vecinos-resultados.csv,0,1201,0,0,0,31871.2
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1251-vecinos-resultados.csv,0,1251,0,0,0,32559.8
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1301-vecinos-resultados.csv,0,1301,0,0,0,33270.5
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1351-vecinos-resultados.csv,0,1351,0,0,0,34049.8
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1401-vecinos-resultados.csv,0,1401,0,0,0,34774.9
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1451-vecinos-resultados.csv,0,1451,0,0,0,35490.5
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1501-vecinos-resultados.csv,0,1501,0,0,0,36119.0
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1551-vecinos-resultados.csv,0,1551,0,0,0,36851.3
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1601-vecinos-resultados.csv,0,1601,0,0,0,37604.5
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1651-vecinos-resultados.csv,0,1651,0,0,0,38294.6
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1701-vecinos-resultados.csv,0,1701,0,0,0,39012.6
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1751-vecinos-resultados.csv,0,1751,0,0,0,39763.0
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1801-vecinos-resultados.csv,0,1801,0,0,0,40536.2
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1851-vecinos-resultados.csv,0,1851,0,0,0,41223.8
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1901-vecinos-resultados.csv,0,1901,0,0,0,41980.1
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-1951-vecinos-resultados.csv,0,1951,0,0,0,42702.2
./Data/5_fold-SET-4-train.csv,./Data/5_fold-SET-4-validate.csv,./resultados/5_fold-SET-4-2001-vecinos-resultados.csv,0,2001,0,0,0,43351.6
